trade_id,timestamp_ns,symbol,side,quantity,price,venue,strategy,account,status
INT_000034,1700000000034000000,UNH,Buy,6406,169.34,NASDAQ,mean_revert,ACC014,active
INT_000035,1700000000035000000,CVX,Sell,2546,135.45,NYSE,stat_arb,ACC019,active
INT_000036,1700000000036000000,CVX,Buy,5148,75.72,NASDAQ,market_neutral,ACC017,active
INT_000037,1700000000037000000,META,Buy,8330,86.05,NYSE,stat_arb,ACC020,active
INT_000038,1700000000038000000,MSFT,Buy,6625,103.95,NYSE,market_neutral,ACC020,active
INT_000039,1700000000039000000,GOOG,Buy,6878,345.82,NASDAQ,mean_revert,ACC007,active
INT_000040,1700000000040000000,V,Buy,4361,228.1,NASDAQ,pairs,ACC011,active
INT_000041,1700000000041000000,MSFT,Buy,7518,329.52,NYSE,stat_arb,ACC018,active
INT_000042,1700000000042000000,NVDA,Sell,2180,469.97,NYSE,momentum,ACC012,active
INT_000043,1700000000043000000,BAC,Buy,7189,425.19,NASDAQ,market_neutral,ACC017,active
INT_000044,1700000000044000000,AAPL,Sell,1707,472.52,NYSE,mean_revert,ACC004,active
INT_000045,1700000000045000000,AMZN,Buy,4472,176.79,NYSE,mean_revert,ACC007,active
INT_000046,1700000000046000000,GS,Sell,4124,457.4,NYSE,stat_arb,ACC014,active
INT_000047,1700000000047000000,GS,Buy,68,200.1,NYSE,mean_revert,ACC006,active
INT_000048,1700000000048000000,WMT,Sell,9199,54.35,NYSE,momentum,ACC018,active
INT_000049,1700000000049000000,GOOG,Sell,9553,298.64,NASDAQ,momentum,ACC002,active
INT_000050,1700000000050000000,BAC,Sell,663,454.52,NYSE,momentum,ACC004,active
INT_000051,1700000000051000000,MA,Sell,2542,466.59,NYSE,momentum,ACC006,active
INT_000052,1700000000052000000,JNJ,Buy,2948,381.45,NASDAQ,pairs,ACC008,active
INT_000053,1700000000053000000,GS,Buy,1781,222.14,NYSE,pairs,ACC008,active
INT_000054,1700000000054000000,NVDA,Sell,5738,187.34,NYSE,momentum,ACC001,active
INT_000055,1700000000055000000,NVDA,Sell,5388,175.37,NYSE,mean_revert,ACC012,active
INT_000056,1700000000056000000,XOM,Sell,8795,199.02,NYSE,stat_arb,ACC009,active
INT_000057,1700000000057000000,META,Sell,636,98.78,NASDAQ,mean_revert,ACC011,active
INT_000058,1700000000058000000,JNJ,Buy,6321,454.78,NYSE,mean_revert,ACC002,active
INT_000059,1700000000059000000,JNJ,Buy,8528,466.51,NYSE,mean_revert,ACC014,active
INT_000060,1700000000060000000,MSFT,Sell,5153,348.52,NYSE,mean_revert,ACC017,active
INT_000061,1700000000061000000,BAC,Sell,5354,231.08,NASDAQ,market_neutral,ACC005,active
INT_000062,1700000000062000000,NVDA,Sell,6221,354.79,NYSE,market_neutral,ACC019,active
INT_000063,1700000000063000000,BAC,Sell,8987,425.18,NASDAQ,mean_revert,ACC007,active
INT_000064,1700000000064000000,JNJ,Sell,7628,248.8,NYSE,market_neutral,ACC016,active
INT_000065,1700000000065000000,META,Buy,4659,281.95,NASDAQ,stat_arb,ACC008,active
INT_000066,1700000000066000000,BAC,Buy,3272,116.31,NYSE,momentum,ACC016,active
INT_000067,1700000000067000000,KO,Buy,7471,236.5,NYSE,pairs,ACC016,active
INT_000068,1700000000068000000,UNH,Buy,2427,345.23,NYSE,stat_arb,ACC014,active
INT_000069,1700000000069000000,JPM,Buy,8496,259.05,NYSE,stat_arb,ACC015,active
INT_000070,1700000000070000000,TSLA,Sell,8712,494.55,NASDAQ,pairs,ACC020,active
INT_000071,1700000000071000000,XOM,Sell,8986,250.66,NYSE,pairs,ACC015,active
INT_000072,1700000000072000000,GS,Buy,4553,394.62,NASDAQ,momentum,ACC009,active
INT_000073,1700000000073000000,WMT,Buy,4691,155.52,NASDAQ,mean_revert,ACC018,active
INT_000074,1700000000074000000,MSFT,Buy,2481,154.07,NYSE,momentum,ACC003,active
INT_000075,1700000000075000000,JNJ,Sell,5431,294.18,NASDAQ,stat_arb,ACC007,active
INT_000076,1700000000076000000,JNJ,Sell,9579,475.73,NYSE,market_neutral,ACC013,active
INT_000077,1700000000077000000,PG,Buy,5773,184.38,NASDAQ,pairs,ACC018,active
INT_000078,1700000000078000000,CVX,Buy,8009,148.74,NASDAQ,pairs,ACC001,active
INT_000079,1700000000079000000,UNH,Sell,6634,375.88,NASDAQ,momentum,ACC020,active
INT_000080,1700000000080000000,CVX,Buy,6465,316.35,NYSE,stat_arb,ACC014,active
INT_000081,1700000000081000000,TSLA,Sell,2987,72.63,NASDAQ,mean_revert,ACC007,active
INT_000082,1700000000082000000,WMT,Sell,5539,392.55,NASDAQ,mean_revert,ACC014,active
INT_000083,1700000000083000000,GS,Buy,7715,58.72,NYSE,mean_revert,ACC008,active
INT_000084,1700000000084000000,MSFT,Buy,518,477.33,NYSE,stat_arb,ACC020,active
INT_000085,1700000000085000000,TSLA,Buy,2078,263.1,NYSE,market_neutral,ACC007,active
INT_000086,1700000000086000000,WMT,Sell,6053,125.51,NYSE,momentum,ACC010,active
INT_000087,1700000000087000000,AMZN,Buy,5121,309.11,NASDAQ,pairs,ACC007,active
INT_000088,1700000000088000000,MSFT,Buy,1679,363.74,NASDAQ,market_neutral,ACC004,active
INT_000089,1700000000089000000,HD,Buy,5698,289.74,NASDAQ,stat_arb,ACC017,active
INT_000090,1700000000090000000,V,Buy,6892,420.05,NYSE,pairs,ACC012,active
INT_000091,1700000000091000000,WMT,Buy,7145,129.26,NASDAQ,market_neutral,ACC018,active
INT_000092,1700000000092000000,PG,Sell,7146,421.58,NASDAQ,mean_revert,ACC008,active
INT_000093,1700000000093000000,MSFT,Sell,7395,159.74,NASDAQ,market_neutral,ACC020,active
INT_000094,1700000000094000000,UNH,Sell,480,272.44,NASDAQ,momentum,ACC016,active
INT_000095,1700000000095000000,NVDA,Sell,4242,203.15,NASDAQ,market_neutral,ACC001,active
INT_000096,1700000000096000000,XOM,Buy,1412,158.61,NASDAQ,pairs,ACC018,active
INT_000097,1700000000097000000,JPM,Sell,8051,251.68,NYSE,stat_arb,ACC010,active
INT_000098,1700000000098000000,JPM,Sell,3996,187.79,NASDAQ,pairs,ACC018,active
INT_000099,1700000000099000000,XOM,Sell,6981,498.48,NASDAQ,mean_revert,ACC015,active
INT_000100,1700000000100000000,GS,Sell,4128,153.74,NYSE,mean_revert,ACC004,active
INT_000101,1700000000101000000,CVX,Buy,3148,147.37,NASDAQ,mean_revert,ACC019,active
INT_000102,1700000000102000000,XOM,Sell,1657,424.68,NASDAQ,momentum,ACC012,active
INT_000103,1700000000103000000,META,Sell,241,368.61,NYSE,mean_revert,ACC002,active
INT_000104,1700000000104000000,GOOG,Sell,2078,337.04,NASDAQ,stat_arb,ACC001,active
INT_000105,1700000000105000000,HD,Sell,7700,265.42,NASDAQ,momentum,ACC002,active
INT_000106,1700000000106000000,GS,Sell,1879,419.95,NASDAQ,pairs,ACC003,active
INT_000107,1700000000107000000,HD,Buy,2495,117.14,NASDAQ,stat_arb,ACC008,active
INT_000108,1700000000108000000,AMZN,Sell,9943,318.26,NYSE,market_neutral,ACC013,active
INT_000109,1700000000109000000,WMT,Sell,4881,437.07,NASDAQ,mean_revert,ACC019,active
INT_000110,1700000000110000000,KO,Buy,9998,482.05,NYSE,momentum,ACC007,active
INT_000111,1700000000111000000,GS,Buy,2583,157.94,NYSE,momentum,ACC001,active
INT_000112,1700000000112000000,JNJ,Sell,9739,261.46,NYSE,momentum,ACC010,active
INT_000113,1700000000113000000,BAC,Sell,1176,359.32,NASDAQ,market_neutral,ACC007,active
INT_000114,1700000000114000000,JNJ,Buy,8932,151.16,NYSE,mean_revert,ACC005,active
INT_000115,1700000000115000000,MSFT,Buy,2728,406.68,NASDAQ,pairs,ACC004,active
INT_000116,1700000000116000000,WMT,Sell,6604,474.2,NASDAQ,pairs,ACC003,active
INT_000117,1700000000117000000,KO,Buy,7088,380.54,NASDAQ,stat_arb,ACC003,active
INT_000118,1700000000118000000,JPM,Buy,4425,309.31,NYSE,pairs,ACC017,active
INT_000119,1700000000119000000,WMT,Sell,2983,498.63,NASDAQ,pairs,ACC003,active
INT_000120,1700000000120000000,PG,Sell,6700,199.99,NYSE,momentum,ACC011,active
INT_000121,1700000000121000000,JNJ,Sell,4732,348.16,NASDAQ,market_neutral,ACC002,active
INT_000122,1700000000122000000,WMT,Buy,5163,163.58,NYSE,pairs,ACC017,active
INT_000123,1700000000123000000,AAPL,Sell,6780,74.39,NASDAQ,market_neutral,ACC016,active
INT_000124,1700000000124000000,WMT,Buy,3345,170.18,NYSE,mean_revert,ACC015,active
INT_000125,1700000000125000000,PG,Buy,482,487.92,NYSE,momentum,ACC010,active
INT_000126,1700000000126000000,CVX,Buy,9058,233.6,NYSE,stat_arb,ACC015,active
INT_000127,1700000000127000000,AMZN,Buy,8175,469.69,NASDAQ,market_neutral,ACC009,active
INT_000128,1700000000128000000,JNJ,Sell,7746,159.68,NYSE,pairs,ACC007,active
INT_000129,1700000000129000000,KO,Buy,1153,174.31,NASDAQ,mean_revert,ACC017,active
INT_000130,1700000000130000000,GS,Buy,4644,376.72,NASDAQ,momentum,ACC015,active
INT_000131,1700000000131000000,CVX,Sell,5664,199.6,NASDAQ,pairs,ACC011,active
INT_000132,1700000000132000000,NVDA,Buy,9378,222.34,NASDAQ,stat_arb,ACC011,active
INT_000133,1700000000133000000,PG,Sell,6335,494.79,NYSE,pairs,ACC002,active
INT_000134,1700000000134000000,TSLA,Sell,1654,443.39,NASDAQ,stat_arb,ACC017,active
INT_000135,1700000000135000000,WMT,Buy,2371,234.49,NYSE,stat_arb,ACC016,active
INT_000136,1700000000136000000,GS,Sell,6522,342.43,NASDAQ,market_neutral,ACC013,active
INT_000137,1700000000137000000,V,Sell,8874,66.15,NYSE,momentum,ACC010,active
INT_000138,1700000000138000000,JPM,Buy,7120,490.25,NYSE,pairs,ACC006,active
INT_000139,1700000000139000000,BAC,Buy,763,195.97,NYSE,mean_revert,ACC012,active
INT_000140,1700000000140000000,MA,Sell,2395,159.89,NASDAQ,market_neutral,ACC006,active
INT_000141,1700000000141000000,META,Buy,1303,324.27,NASDAQ,market_neutral,ACC008,active
INT_000142,1700000000142000000,PG,Buy,3814,257.52,NASDAQ,pairs,ACC009,active
INT_000143,1700000000143000000,AAPL,Sell,4722,354.92,NYSE,stat_arb,ACC015,active
INT_000144,1700000000144000000,MA,Sell,6961,360.64,NASDAQ,mean_revert,ACC007,active
INT_000145,1700000000145000000,UNH,Sell,1757,156.74,NASDAQ,market_neutral,ACC010,active
INT_000146,1700000000146000000,BAC,Buy,6494,173.52,NYSE,market_neutral,ACC016,active
INT_000147,1700000000147000000,BAC,Buy,9956,410.87,NYSE,momentum,ACC020,active
INT_000148,1700000000148000000,GS,Buy,1601,456.53,NYSE,mean_revert,ACC015,active
INT_000149,1700000000149000000,GOOG,Sell,2163,90.56,NASDAQ,mean_revert,ACC014,active
INT_000150,1700000000150000000,META,Buy,2175,403.93,NASDAQ,market_neutral,ACC017,active
INT_000151,1700000000151000000,GS,Buy,4220,461.32,NASDAQ,mean_revert,ACC011,active
INT_000152,1700000000152000000,AMZN,Sell,1243,113.34,NYSE,pairs,ACC018,active
INT_000153,1700000000153000000,MA,Buy,6474,56.26,NYSE,pairs,ACC012,active
INT_000154,1700000000154000000,GS,Sell,6096,98.76,NYSE,pairs,ACC001,active
INT_000155,1700000000155000000,KO,Sell,3636,341.44,NASDAQ,mean_revert,ACC014,active
INT_000156,1700000000156000000,AMZN,Buy,752,475.82,NASDAQ,pairs,ACC004,active
INT_000157,1700000000157000000,AMZN,Buy,8817,111.05,NASDAQ,mean_revert,ACC018,active
INT_000158,1700000000158000000,JNJ,Buy,6807,344.71,NASDAQ,market_neutral,ACC014,active
INT_000159,1700000000159000000,GS,Buy,6080,147.77,NASDAQ,momentum,ACC012,active
INT_000160,1700000000160000000,AMZN,Sell,8930,455.76,NASDAQ,stat_arb,ACC013,active
INT_000161,1700000000161000000,GS,Buy,2011,477.05,NASDAQ,stat_arb,ACC007,active
INT_000162,1700000000162000000,KO,Buy,838,404.06,NYSE,momentum,ACC019,active
INT_000163,1700000000163000000,NVDA,Buy,9090,143.22,NYSE,momentum,ACC011,active
INT_000164,1700000000164000000,TSLA,Buy,4552,436.28,NYSE,momentum,ACC018,active
INT_000165,1700000000165000000,GS,Buy,1811,347.48,NYSE,momentum,ACC001,active
INT_000166,1700000000166000000,MA,Buy,9657,195.7,NYSE,mean_revert,ACC002,active
INT_000167,1700000000167000000,TSLA,Sell,8629,101.14,NYSE,pairs,ACC015,active
INT_000168,1700000000168000000,MA,Buy,7415,276.73,NYSE,market_neutral,ACC010,active
INT_000169,1700000000169000000,WMT,Buy,1006,499.36,NASDAQ,pairs,ACC004,active
INT_000170,1700000000170000000,PG,Sell,1214,454.67,NASDAQ,market_neutral,ACC005,active
INT_000171,1700000000171000000,MSFT,Buy,4515,330.94,NASDAQ,pairs,ACC020,active
INT_000172,1700000000172000000,XOM,Sell,7443,277.5,NASDAQ,stat_arb,ACC004,active
INT_000173,1700000000173000000,CVX,Buy,7056,253.2,NYSE,pairs,ACC011,active
INT_000174,1700000000174000000,WMT,Sell,6825,378.33,NASDAQ,pairs,ACC011,active
INT_000175,1700000000175000000,GS,Sell,2510,359.07,NASDAQ,stat_arb,ACC003,active
INT_000176,1700000000176000000,MSFT,Buy,7085,93.45,NASDAQ,momentum,ACC018,active
INT_000177,1700000000177000000,GOOG,Sell,2012,234.86,NASDAQ,stat_arb,ACC010,active
INT_000178,1700000000178000000,KO,Sell,5771,96.62,NYSE,momentum,ACC016,active
INT_000179,1700000000179000000,JPM,Buy,5746,430.42,NASDAQ,stat_arb,ACC009,active
INT_000180,1700000000180000000,HD,Buy,7040,430.32,NYSE,market_neutral,ACC009,active
INT_000181,1700000000181000000,AAPL,Buy,4487,366.21,NASDAQ,mean_revert,ACC012,active
INT_000182,1700000000182000000,AAPL,Buy,2357,304.84,NASDAQ,stat_arb,ACC005,active
INT_000183,1700000000183000000,AAPL,Buy,8701,146.81,NASDAQ,pairs,ACC011,active
INT_000184,1700000000184000000,META,Sell,5115,374.72,NYSE,stat_arb,ACC005,active
INT_000185,1700000000185000000,META,Buy,1346,172.45,NASDAQ,pairs,ACC020,active
INT_000186,1700000000186000000,WMT,Sell,4485,147.01,NYSE,mean_revert,ACC014,active
INT_000187,1700000000187000000,AMZN,Sell,9727,268.98,NASDAQ,stat_arb,ACC008,active
INT_000188,1700000000188000000,UNH,Buy,135,141.99,NYSE,momentum,ACC009,active
INT_000189,1700000000189000000,BAC,Sell,1975,53.48,NASDAQ,momentum,ACC005,active
INT_000190,1700000000190000000,UNH,Buy,8206,301.43,NASDAQ,stat_arb,ACC013,active
INT_000191,1700000000191000000,GOOG,Sell,317,256.89,NYSE,mean_revert,ACC019,active
INT_000192,1700000000192000000,JNJ,Sell,6853,180.28,NASDAQ,stat_arb,ACC011,active
INT_000193,1700000000193000000,META,Sell,5938,89.66,NYSE,momentum,ACC014,active
INT_000194,1700000000194000000,HD,Sell,8594,85.39,NASDAQ,mean_revert,ACC008,active
INT_000195,1700000000195000000,V,Buy,1261,279.72,NYSE,market_neutral,ACC017,active
INT_000196,1700000000196000000,NVDA,Sell,5762,377.32,NYSE,momentum,ACC004,active
INT_000197,1700000000197000000,TSLA,Sell,3242,128.07,NYSE,stat_arb,ACC006,active
INT_000198,1700000000198000000,PG,Sell,9246,391.94,NASDAQ,market_neutral,ACC020,active
INT_000199,1700000000199000000,V,Sell,2483,247.89,NASDAQ,pairs,ACC010,active
INT_000200,1700000000200000000,GS,Buy,5776,278.3,NASDAQ,pairs,ACC015,active
INT_000201,1700000000201000000,GOOG,Buy,6051,424.26,NYSE,stat_arb,ACC020,active
INT_000202,1700000000202000000,KO,Sell,7591,311.15,NYSE,pairs,ACC019,active
INT_000203,1700000000203000000,NVDA,Sell,9922,264.03,NYSE,stat_arb,ACC015,active
INT_000204,1700000000204000000,AMZN,Sell,1391,277.05,NYSE,stat_arb,ACC008,active
INT_000205,1700000000205000000,WMT,Sell,8596,285.24,NYSE,mean_revert,ACC012,active
INT_000206,1700000000206000000,BAC,Sell,6707,398.51,NYSE,mean_revert,ACC003,active
INT_000207,1700000000207000000,V,Buy,9151,355.27,NASDAQ,mean_revert,ACC020,active
INT_000208,1700000000208000000,TSLA,Sell,1345,312.23,NYSE,mean_revert,ACC010,active
INT_000209,1700000000209000000,UNH,Buy,9759,368.98,NYSE,mean_revert,ACC018,active
INT_000210,1700000000210000000,UNH,Sell,2103,351.55,NYSE,pairs,ACC017,active
INT_000211,1700000000211000000,MA,Buy,5950,188.99,NYSE,mean_revert,ACC016,active
INT_000212,1700000000212000000,NVDA,Buy,2263,119.73,NASDAQ,stat_arb,ACC017,active
INT_000213,1700000000213000000,CVX,Buy,5527,444.38,NYSE,market_neutral,ACC013,active
INT_000214,1700000000214000000,TSLA,Buy,2972,424.11,NYSE,pairs,ACC002,active
INT_000215,1700000000215000000,JNJ,Sell,3901,486.31,NASDAQ,pairs,ACC008,active
INT_000216,1700000000216000000,CVX,Buy,5080,484.52,NASDAQ,momentum,ACC012,active
INT_000217,1700000000217000000,HD,Sell,7574,396.25,NASDAQ,market_neutral,ACC017,active
INT_000218,1700000000218000000,JNJ,Buy,3281,410.57,NYSE,mean_revert,ACC002,active
INT_000219,1700000000219000000,PG,Sell,9095,470.43,NYSE,mean_revert,ACC003,active
INT_000220,1700000000220000000,META,Sell,7371,457.39,NYSE,pairs,ACC003,active
INT_000221,1700000000221000000,JPM,Sell,5737,468.71,NASDAQ,stat_arb,ACC013,active
INT_000222,1700000000222000000,XOM,Sell,3872,223.77,NYSE,mean_revert,ACC008,active
INT_000223,1700000000223000000,AAPL,Sell,1633,427.63,NASDAQ,momentum,ACC005,active
INT_000224,1700000000224000000,GOOG,Sell,7750,363.23,NYSE,pairs,ACC015,active
INT_000225,1700000000225000000,KO,Buy,1308,58.55,NYSE,momentum,ACC018,active
INT_000226,1700000000226000000,KO,Sell,1831,399.28,NYSE,mean_revert,ACC004,active
INT_000227,1700000000227000000,GOOG,Buy,6888,337.53,NASDAQ,stat_arb,ACC004,active
INT_000228,1700000000228000000,PG,Buy,8453,308.77,NYSE,mean_revert,ACC014,active
INT_000229,1700000000229000000,AAPL,Sell,3951,306.8,NYSE,stat_arb,ACC017,active
INT_000230,1700000000230000000,MA,Buy,8628,294.84,NYSE,pairs,ACC016,active
INT_000231,1700000000231000000,GOOG,Sell,6126,164.14,NYSE,mean_revert,ACC003,active
INT_000232,1700000000232000000,MA,Buy,1708,397.18,NASDAQ,momentum,ACC002,active
INT_000233,1700000000233000000,MA,Sell,2878,423.67,NASDAQ,pairs,ACC006,active
INT_000234,1700000000234000000,TSLA,Buy,7508,66.64,NYSE,stat_arb,ACC007,active
INT_000235,1700000000235000000,GOOG,Sell,5090,281.92,NASDAQ,mean_revert,ACC002,active
INT_000236,1700000000236000000,NVDA,Sell,5858,437.96,NYSE,mean_revert,ACC009,active
INT_000237,1700000000237000000,AMZN,Sell,7169,450.27,NASDAQ,pairs,ACC011,active
INT_000238,1700000000238000000,META,Sell,8161,215.31,NASDAQ,stat_arb,ACC014,active
INT_000239,1700000000239000000,MSFT,Sell,9880,497.79,NYSE,market_neutral,ACC010,active
INT_000240,1700000000240000000,V,Buy,1321,197.56,NASDAQ,mean_revert,ACC015,active
INT_000241,1700000000241000000,KO,Sell,2740,360.39,NASDAQ,pairs,ACC002,active
INT_000242,1700000000242000000,MA,Sell,4508,337.76,NYSE,stat_arb,ACC013,active
INT_000243,1700000000243000000,MA,Buy,520,114.25,NASDAQ,stat_arb,ACC005,active
INT_000244,1700000000244000000,MSFT,Buy,6011,212.97,NYSE,market_neutral,ACC005,active
INT_000245,1700000000245000000,WMT,Sell,6105,249.77,NYSE,market_neutral,ACC005,active
INT_000246,1700000000246000000,XOM,Sell,6531,191.47,NASDAQ,momentum,ACC004,active
INT_000247,1700000000247000000,AAPL,Buy,8186,282.99,NYSE,mean_revert,ACC009,active
INT_000248,1700000000248000000,WMT,Buy,4688,362.29,NASDAQ,momentum,ACC004,active
INT_000249,1700000000249000000,TSLA,Buy,7416,127.7,NASDAQ,stat_arb,ACC011,active
INT_000250,1700000000250000000,MA,Buy,9021,293.98,NASDAQ,momentum,ACC006,active
INT_000251,1700000000251000000,MA,Buy,1998,493.31,NYSE,momentum,ACC016,active
INT_000252,1700000000252000000,AAPL,Sell,9087,307.52,NASDAQ,market_neutral,ACC005,active
INT_000253,1700000000253000000,KO,Buy,1087,189.18,NASDAQ,market_neutral,ACC014,active
INT_000254,1700000000254000000,JNJ,Buy,2063,487.57,NYSE,pairs,ACC015,active
INT_000255,1700000000255000000,XOM,Sell,2112,445.08,NYSE,momentum,ACC014,active
INT_000256,1700000000256000000,XOM,Buy,2044,283.15,NASDAQ,momentum,ACC006,active
INT_000257,1700000000257000000,V,Buy,5679,476.37,NASDAQ,stat_arb,ACC009,active
INT_000258,1700000000258000000,NVDA,Sell,2060,331.26,NYSE,market_neutral,ACC006,active
INT_000259,1700000000259000000,HD,Buy,2814,346.43,NASDAQ,market_neutral,ACC002,active
INT_000260,1700000000260000000,AAPL,Buy,754,476.85,NASDAQ,momentum,ACC019,active
INT_000261,1700000000261000000,JNJ,Buy,8169,450.05,NASDAQ,mean_revert,ACC016,active
INT_000262,1700000000262000000,JPM,Sell,4883,254.09,NYSE,momentum,ACC015,active
INT_000263,1700000000263000000,JNJ,Sell,7619,141.81,NYSE,mean_revert,ACC011,active
INT_000264,1700000000264000000,MA,Sell,2152,392.3,NYSE,mean_revert,ACC008,active
INT_000265,1700000000265000000,WMT,Buy,4392,252.32,NYSE,stat_arb,ACC002,active
INT_000266,1700000000266000000,BAC,Sell,6860,161.72,NYSE,mean_revert,ACC019,active
INT_000267,1700000000267000000,V,Buy,2620,274.22,NASDAQ,pairs,ACC010,active
INT_000268,1700000000268000000,PG,Buy,1485,475.35,NASDAQ,momentum,ACC007,active
INT_000269,1700000000269000000,HD,Sell,807,72.74,NASDAQ,market_neutral,ACC016,active
INT_000270,1700000000270000000,BAC,Buy,1771,243.92,NASDAQ,mean_revert,ACC013,active
INT_000271,1700000000271000000,MA,Buy,6573,73.02,NYSE,mean_revert,ACC018,active
INT_000272,1700000000272000000,BAC,Buy,6339,276.91,NASDAQ,market_neutral,ACC020,active
INT_000273,1700000000273000000,AMZN,Buy,1594,227.26,NASDAQ,market_neutral,ACC012,active
INT_000274,1700000000274000000,TSLA,Buy,9880,279.11,NYSE,stat_arb,ACC002,active
INT_000275,1700000000275000000,TSLA,Sell,7771,283.7,NYSE,market_neutral,ACC017,active
INT_000276,1700000000276000000,TSLA,Sell,5228,123.13,NASDAQ,market_neutral,ACC011,active
INT_000277,1700000000277000000,XOM,Sell,9232,184.91,NYSE,mean_revert,ACC011,active
INT_000278,1700000000278000000,AMZN,Sell,9573,188.46,NYSE,market_neutral,ACC016,active
INT_000279,1700000000279000000,GS,Buy,851,312.59,NYSE,market_neutral,ACC020,active
INT_000280,1700000000280000000,UNH,Buy,3978,64.21,NYSE,momentum,ACC001,active
INT_000281,1700000000281000000,WMT,Sell,6871,118.14,NYSE,pairs,ACC017,active
INT_000282,1700000000282000000,KO,Sell,1030,367.6,NYSE,market_neutral,ACC011,active
INT_000283,1700000000283000000,PG,Sell,5150,480.51,NASDAQ,market_neutral,ACC011,active
INT_000284,1700000000284000000,CVX,Sell,4341,324.53,NYSE,momentum,ACC009,active
INT_000285,1700000000285000000,CVX,Sell,3694,473.67,NASDAQ,mean_revert,ACC007,active
INT_000286,1700000000286000000,PG,Sell,7871,206.96,NASDAQ,mean_revert,ACC004,active
INT_000287,1700000000287000000,HD,Sell,6474,418.27,NYSE,mean_revert,ACC002,active
INT_000288,1700000000288000000,BAC,Buy,5684,465.8,NASDAQ,pairs,ACC007,active
INT_000289,1700000000289000000,NVDA,Sell,9218,363.28,NYSE,stat_arb,ACC020,active
INT_000290,1700000000290000000,HD,Buy,3982,72.84,NYSE,momentum,ACC002,active
INT_000291,1700000000291000000,AMZN,Sell,5421,372.81,NYSE,momentum,ACC001,active
INT_000292,1700000000292000000,CVX,Buy,6676,343.8,NASDAQ,pairs,ACC007,active
INT_000293,1700000000293000000,BAC,Sell,4686,340.65,NYSE,market_neutral,ACC008,active
INT_000294,1700000000294000000,CVX,Buy,2878,238.05,NYSE,stat_arb,ACC013,active
INT_000295,1700000000295000000,PG,Buy,4752,444.53,NYSE,mean_revert,ACC019,active
